date,asset,price
2021-08-19,AAPL,98.12
2021-08-20,AAPL,99.39
2021-08-21,AAPL,98.52
2021-08-22,AAPL,98.39
2021-08-23,AAPL,99.97
2021-08-24,AAPL,99.8
2021-08-25,AAPL,101.15
2021-08-26,AAPL,101.61
2021-08-27,AAPL,100.36
2021-08-28,AAPL,100.34
2021-08-29,AAPL,101.52
2021-08-30,AAPL,102.32
2021-08-31,AAPL,102.28
2021-09-01,AAPL,100.01
2021-09-02,AAPL,97.85
2021-09-03,AAPL,95.95
2021-09-04,AAPL,95.34
2021-09-05,AAPL,94.89
2021-09-06,AAPL,93.12
2021-09-07,AAPL,94.34
2021-09-08,AAPL,92.83
2021-09-09,AAPL,91.18
2021-09-10,AAPL,91.29
2021-09-11,AAPL,92.46
2021-09-12,AAPL,94.92
2021-09-13,AAPL,95.62
2021-09-14,AAPL,97.52
2021-09-15,AAPL,96.06
2021-09-16,AAPL,98.65
2021-09-17,AAPL,96.42
2021-09-18,AAPL,95.82
2021-09-19,AAPL,96.49
2021-09-20,AAPL,94.56
2021-09-21,AAPL,93.45
2021-09-22,AAPL,92.15
2021-09-23,AAPL,91.77
2021-09-24,AAPL,93.48
2021-09-25,AAPL,93.5
2021-09-26,AAPL,92.94
2021-09-27,AAPL,89.48
2021-09-28,AAPL,90.04
2021-09-29,AAPL,90.99
2021-09-30,AAPL,88.95
2021-10-01,AAPL,88.87
2021-10-02,AAPL,89.1
2021-10-03,AAPL,90.26
2021-10-04,AAPL,89.39
2021-10-05,AAPL,88.34
2021-10-06,AAPL,87.79
2021-10-07,AAPL,89.33
2021-10-08,AAPL,90.59
2021-10-09,AAPL,90.56
2021-10-10,AAPL,91.78
2021-10-11,AAPL,88.94
2021-10-12,AAPL,89.89
2021-10-13,AAPL,88.55
2021-10-14,AAPL,90.67
2021-10-15,AAPL,89.39
2021-10-16,AAPL,88.37
2021-10-17,AAPL,89.04
2021-10-18,AAPL,89.83
2021-10-19,AAPL,89.3
2021-10-20,AAPL,89.74
2021-10-21,AAPL,90.34
2021-10-22,AAPL,90.81
2021-10-23,AAPL,90.33
2021-10-24,AAPL,90.93
2021-10-25,AAPL,92.62
2021-10-26,AAPL,91.15
2021-10-27,AAPL,90.14
2021-10-28,AAPL,90.17
2021-10-29,AAPL,88.91
2021-10-30,AAPL,86.74
2021-10-31,AAPL,88.05
2021-11-01,AAPL,85.38
2021-11-02,AAPL,84.9
2021-11-03,AAPL,85.81
2021-11-04,AAPL,86.13
2021-11-05,AAPL,85.66
2021-11-06,AAPL,84.35
2021-11-07,AAPL,84.76
2021-11-08,AAPL,83.57
2021-11-09,AAPL,83.89
2021-11-10,AAPL,84.06
2021-11-11,AAPL,84.24
2021-11-12,AAPL,83.47
2021-11-13,AAPL,85.92
2021-11-14,AAPL,86.34
2021-11-15,AAPL,86.01
2021-11-16,AAPL,86.33
2021-11-17,AAPL,85.4
2021-11-18,AAPL,84.93
2021-11-19,AAPL,87.8
2021-11-20,AAPL,86.88
2021-11-21,AAPL,86.79
2021-11-22,AAPL,86.24
2021-11-23,AAPL,85.0
2021-11-24,AAPL,85.5
2021-11-25,AAPL,85.54
2021-11-26,AAPL,86.64
2021-11-27,AAPL,87.61
2021-11-28,AAPL,88.69
2021-11-29,AAPL,87.59
2021-11-30,AAPL,88.36
2021-12-01,AAPL,89.16
2021-12-02,AAPL,87.93
2021-12-03,AAPL,87.55
2021-12-04,AAPL,85.8
2021-12-05,AAPL,86.61
2021-12-06,AAPL,87.4
2021-12-07,AAPL,89.12
2021-12-08,AAPL,88.85
2021-12-09,AAPL,89.39
2021-12-10,AAPL,90.57
2021-12-11,AAPL,89.67
2021-12-12,AAPL,88.58
2021-12-13,AAPL,87.71
2021-12-14,AAPL,87.29
2021-12-15,AAPL,86.25
2021-12-16,AAPL,85.43
2021-12-17,AAPL,86.49
2021-12-18,AAPL,86.38
2021-12-19,AAPL,86.74
2021-12-20,AAPL,86.08
2021-12-21,AAPL,85.34
2021-12-22,AAPL,85.69
2021-12-23,AAPL,85.84
2021-12-24,AAPL,86.77
2021-12-25,AAPL,88.33
2021-12-26,AAPL,87.5
2021-12-27,AAPL,88.54
2021-12-28,AAPL,87.24
2021-12-29,AAPL,89.73
2021-12-30,AAPL,88.79
2021-12-31,AAPL,89.61
2022-01-01,AAPL,88.31
2022-01-02,AAPL,88.13
2022-01-03,AAPL,89.98
2022-01-04,AAPL,89.0
2022-01-05,AAPL,91.65
2022-01-06,AAPL,91.64
2022-01-07,AAPL,92.81
2022-01-08,AAPL,93.29
2022-01-09,AAPL,93.84
2022-01-10,AAPL,92.13
2022-01-11,AAPL,91.56
2022-01-12,AAPL,93.0
2022-01-13,AAPL,92.59
2022-01-14,AAPL,92.75
2022-01-15,AAPL,90.9
2022-01-16,AAPL,90.25
2022-01-17,AAPL,91.6
2022-01-18,AAPL,90.06
2022-01-19,AAPL,90.92
2022-01-20,AAPL,91.13
2022-01-21,AAPL,90.85
2022-01-22,AAPL,90.51
2022-01-23,AAPL,89.92
2022-01-24,AAPL,89.44
2022-01-25,AAPL,90.56
2022-01-26,AAPL,90.04
2022-01-27,AAPL,92.21
2022-01-28,AAPL,92.57
2022-01-29,AAPL,91.88
2022-01-30,AAPL,93.04
2022-01-31,AAPL,93.79
2022-02-01,AAPL,91.81
2022-02-02,AAPL,90.57
2022-02-03,AAPL,90.43
2022-02-04,AAPL,88.53
2022-02-05,AAPL,91.04
2022-02-06,AAPL,92.02
2022-02-07,AAPL,92.01
2022-02-08,AAPL,91.6
2022-02-09,AAPL,90.88
2022-02-10,AAPL,88.52
2022-02-11,AAPL,86.44
2022-02-12,AAPL,88.72
2022-02-13,AAPL,90.61
2022-02-14,AAPL,89.92
2022-02-15,AAPL,91.01
2022-02-16,AAPL,91.62
2022-02-17,AAPL,92.36
2022-02-18,AAPL,90.65
2022-02-19,AAPL,88.48
2022-02-20,AAPL,89.9
2022-02-21,AAPL,87.53
2022-02-22,AAPL,87.35
2022-02-23,AAPL,86.91
2022-02-24,AAPL,86.36
2022-02-25,AAPL,86.73
2022-02-26,AAPL,85.92
2022-02-27,AAPL,86.4
2022-02-28,AAPL,86.57
2022-03-01,AAPL,89.08
2022-03-02,AAPL,87.42
2022-03-03,AAPL,87.46
2022-03-04,AAPL,87.97
2022-03-05,AAPL,87.67
2022-03-06,AAPL,86.06
2022-03-07,AAPL,87.57
2022-03-08,AAPL,87.98
2022-03-09,AAPL,86.46
2022-03-10,AAPL,86.98
2022-03-11,AAPL,89.02
2022-03-12,AAPL,88.98
2022-03-13,AAPL,88.98
2022-03-14,AAPL,90.86
2022-03-15,AAPL,89.69
2022-03-16,AAPL,91.77
2022-03-17,AAPL,92.93
2022-03-18,AAPL,91.83
2022-03-19,AAPL,91.02
2022-03-20,AAPL,90.39
2022-03-21,AAPL,88.19
2022-03-22,AAPL,88.51
2022-03-23,AAPL,87.45
2022-03-24,AAPL,87.81
2022-03-25,AAPL,86.26
2022-03-26,AAPL,87.37
2022-03-27,AAPL,88.25
2022-03-28,AAPL,87.4
2022-03-29,AAPL,87.84
2022-03-30,AAPL,87.94
2022-03-31,AAPL,89.71
2022-04-01,AAPL,88.47
2022-04-02,AAPL,88.29
2022-04-03,AAPL,87.52
2022-04-04,AAPL,87.58
2022-04-05,AAPL,88.22
2022-04-06,AAPL,87.43
2022-04-07,AAPL,87.0
2022-04-08,AAPL,88.16
2022-04-09,AAPL,89.79
2022-04-10,AAPL,90.38
2022-04-11,AAPL,90.21
2022-04-12,AAPL,89.93
2022-04-13,AAPL,90.59
2022-04-14,AAPL,90.86
2022-04-15,AAPL,88.89
2022-04-16,AAPL,89.57
2022-04-17,AAPL,88.54
2022-04-18,AAPL,86.84
2022-04-19,AAPL,84.84
2022-04-20,AAPL,84.58
2022-04-21,AAPL,83.36
2022-04-22,AAPL,80.57
2022-04-23,AAPL,80.14
2022-04-24,AAPL,79.55
2022-04-25,AAPL,79.37
2022-04-26,AAPL,78.61
2022-04-27,AAPL,80.81
2022-04-28,AAPL,81.43
2022-04-29,AAPL,80.83
2022-04-30,AAPL,80.75
2022-05-01,AAPL,82.45
2022-05-02,AAPL,83.6
2022-05-03,AAPL,81.92
2022-05-04,AAPL,80.75
2022-05-05,AAPL,79.82
2022-05-06,AAPL,79.29
2022-05-07,AAPL,78.57
2022-05-08,AAPL,78.61
2022-05-09,AAPL,79.5
2022-05-10,AAPL,80.58
2022-05-11,AAPL,80.19
2022-05-12,AAPL,78.23
2022-05-13,AAPL,76.98
2022-05-14,AAPL,76.35
2022-05-15,AAPL,74.86
2022-05-16,AAPL,76.23
2022-05-17,AAPL,74.81
2022-05-18,AAPL,75.55
2022-05-19,AAPL,73.54
2022-05-20,AAPL,74.32
2022-05-21,AAPL,74.16
2022-05-22,AAPL,75.97
2022-05-23,AAPL,74.61
